date,Location,total_cases,new_cases,total_death,new_death,icu,hosp
1/1/23,USA,99411696,392203,1082456,2480,4918,40495
1/2/23,USA,99411696,0,1082456,0,5056,41887
1/3/23,USA,99411696,0,1082456,0,5189,43195
1/4/23,USA,99411696,0,1082456,0,5237,43682
1/5/23,USA,99411696,0,1082456,0,5189,42836
1/6/23,USA,99411696,0,1082456,0,5224,41874
1/7/23,USA,99411696,0,1082456,0,4999,40089
1/8/23,USA,99883410,471714,1085220,2764,4979,40340
1/9/23,USA,99883410,0,1085220,0,5039,40623
1/10/23,USA,99883410,0,1085220,0,5067,39662
1/11/23,USA,99883410,0,1085220,0,4962,38471
1/12/23,USA,99883410,0,1085220,0,4871,37295
1/13/23,USA,99883410,0,1085220,0,4656,35898
1/14/23,USA,99883410,0,1085220,0,4614,34626
1/15/23,USA,100331502,448092,1089627,4407,4514,34263
1/16/23,USA,100331502,0,1089627,0,4503,34406
1/17/23,USA,100331502,0,1089627,0,4411,33929
1/18/23,USA,100331502,0,1089627,0,4318,33229
1/19/23,USA,100331502,0,1089627,0,4185,32075
1/20/23,USA,100331502,0,1089627,0,4089,31051
1/21/23,USA,100331502,0,1089627,0,3961,29591
1/22/23,USA,100639527,308025,1093291,3664,3894,29558
1/23/23,USA,100639527,0,1093291,0,3836,29773
1/24/23,USA,100639527,0,1093291,0,3882,29261
1/25/23,USA,100639527,0,1093291,0,3765,28903
1/26/23,USA,100639527,0,1093291,0,3625,27934
1/27/23,USA,100639527,0,1093291,0,3544,27038
1/28/23,USA,100639527,0,1093291,0,3304,26075
1/29/23,USA,100934394,294867,1097034,3743,3375,26251
1/30/23,USA,100934394,0,1097034,0,3428,26743
1/31/23,USA,100934394,0,1097034,0,3435,26373
2/1/23,USA,100934394,0,1097034,0,3425,25884
2/2/23,USA,100934394,0,1097034,0,3302,25368
2/3/23,USA,100934394,0,1097034,0,3140,24669
2/4/23,USA,100934394,0,1097034,0,3009,23873
2/5/23,USA,101219796,285402,1100486,3452,3019,24049
2/6/23,USA,101219796,0,1100486,0,3113,24821
2/7/23,USA,101219796,0,1100486,0,3071,24549
2/8/23,USA,101219796,0,1100486,0,3008,24442
2/9/23,USA,101219796,0,1100486,0,3066,24009
2/10/23,USA,101219796,0,1100486,0,3026,23711
2/11/23,USA,101219796,0,1100486,0,2924,23044
2/12/23,USA,101498024,278228,1103926,3440,2889,23154
2/13/23,USA,101498024,0,1103926,0,3058,23794
2/14/23,USA,101498024,0,1103926,0,3099,23847
2/15/23,USA,101498024,0,1103926,0,3054,24022
2/16/23,USA,101498024,0,1103926,0,3035,23673
2/17/23,USA,101498024,0,1103926,0,2998,23265
2/18/23,USA,101498024,0,1103926,0,2814,22418
2/19/23,USA,101752396,254372,1106783,2857,2861,22658
2/20/23,USA,101752396,0,1106783,0,2954,22978
2/21/23,USA,101752396,0,1106783,0,2953,23102
2/22/23,USA,101752396,0,1106783,0,2946,22793
2/23/23,USA,101752396,0,1106783,0,2927,22467
2/24/23,USA,101752396,0,1106783,0,2833,22049
2/25/23,USA,101752396,0,1106783,0,2680,21333
2/26/23,USA,102019564,267168,1109145,2362,2701,21346
2/27/23,USA,102019564,0,1109145,0,2738,21879
2/28/23,USA,102019564,0,1109145,0,2765,21740
3/1/23,USA,102019564,0,1109145,0,2757,21382
3/2/23,USA,102019564,0,1109145,0,2667,20832
3/3/23,USA,102019564,0,1109145,0,2596,20436
3/4/23,USA,102019564,0,1109145,0,2449,19762
3/5/23,USA,102247392,227828,1111342,2197,2467,19864
3/6/23,USA,102247392,0,1111342,0,2566,20214
3/7/23,USA,102247392,0,1111342,0,2538,19955
3/8/23,USA,102247392,0,1111342,0,2513,19345
3/9/23,USA,102247392,0,1111342,0,2444,18712
3/10/23,USA,102247392,0,1111342,0,2426,18192
3/11/23,USA,102247392,0,1111342,0,2330,17586
3/12/23,USA,102417985,170593,1113229,1887,2289,17713
3/13/23,USA,102417985,0,1113229,0,2327,18038
3/14/23,USA,102417985,0,1113229,0,2338,17630
3/15/23,USA,102417985,0,1113229,0,2290,17360
3/16/23,USA,102417985,0,1113229,0,2198,16913
3/17/23,USA,102417985,0,1113229,0,2114,16461
3/18/23,USA,102417985,0,1113229,0,2071,16073
3/19/23,USA,102544598,126613,1114970,1741,2094,16175
3/20/23,USA,102544598,0,1114970,0,2182,16580
3/21/23,USA,102544598,0,1114970,0,2190,16321
3/22/23,USA,102544598,0,1114970,0,2213,15969
3/23/23,USA,102544598,0,1114970,0,2172,15700
3/24/23,USA,102544598,0,1114970,0,2118,15610
3/25/23,USA,102544598,0,1114970,0,2055,15096
3/26/23,USA,102697566,152968,1117054,2084,2010,15136
3/27/23,USA,102697566,0,1117054,0,2071,15508
3/28/23,USA,102697566,0,1117054,0,2065,15418
3/29/23,USA,102697566,0,1117054,0,2017,15068
3/30/23,USA,102697566,0,1117054,0,1990,14751
3/31/23,USA,102697566,0,1117054,0,1928,14285
4/1/23,USA,102697566,0,1117054,0,1861,13656
4/2/23,USA,102873924,176358,1118800,1746,1874,13769
4/3/23,USA,102873924,0,1118800,0,1822,14119
4/4/23,USA,102873924,0,1118800,0,1831,13965
