date,Location,total_cases,new_cases,total_death,new_death,icu,hosp,,,,,,,,,,,,,
1/1/23,USA,99411696,392203,1082456,2480,4918,40495,,,,,,,,,,,14.538,40495,119.705
1/2/23,USA,99411696,0,1082456,0,5056,41887,,,,,,,,,,,14.946,41887,123.82
1/3/23,USA,99411696,0,1082456,0,5189,43195,,,,,,,,,,,15.339,43195,127.686
1/4/23,USA,99411696,0,1082456,0,5237,43682,,,,,,,,,,,15.481,43682,129.126
1/5/23,USA,99411696,0,1082456,0,5189,42836,,,,,,,,,,,15.339,42836,126.625
1/6/23,USA,99411696,0,1082456,0,5224,41874,,,,,,,,,,,15.442,41874,123.781
1/7/23,USA,99411696,0,1082456,0,4999,40089,,,,,,,,,,,14.777,40089,118.505
1/8/23,USA,99883410,471714,1085220,2764,4979,40340,,,,,,,,,,,14.718,40340,119.247
1/9/23,USA,99883410,0,1085220,0,5039,40623,,,,,,,,,,,14.896,40623,120.083
1/10/23,USA,99883410,0,1085220,0,5067,39662,,,,,,,,,,,14.978,39662,117.243
1/11/23,USA,99883410,0,1085220,0,4962,38471,,,,,,,,,,,14.668,38471,113.722
1/12/23,USA,99883410,0,1085220,0,4871,37295,,,,,,,,,,,14.399,37295,110.246
1/13/23,USA,99883410,0,1085220,0,4656,35898,,,,,,,,,,,13.763,35898,106.116
1/14/23,USA,99883410,0,1085220,0,4614,34626,,,,,,,,,,,13.639,34626,102.356
1/15/23,USA,100331502,448092,1089627,4407,4514,34263,,,,,,,,,,,13.344,34263,101.283
1/16/23,USA,100331502,0,1089627,0,4503,34406,,,,,,,,,,,13.311,34406,101.706
1/17/23,USA,100331502,0,1089627,0,4411,33929,,,,,,,,,,,13.039,33929,100.296
1/18/23,USA,100331502,0,1089627,0,4318,33229,,,,,,,,,,,12.764,33229,98.226
1/19/23,USA,100331502,0,1089627,0,4185,32075,,,,,,,,,,,12.371,32075,94.815
1/20/23,USA,100331502,0,1089627,0,4089,31051,,,,,,,,,,,12.087,31051,91.788
1/21/23,USA,100331502,0,1089627,0,3961,29591,,,,,,,,,,,11.709,29591,87.472
1/22/23,USA,100639527,308025,1093291,3664,3894,29558,,,,,,,,,,,11.511,29558,87.375
1/23/23,USA,100639527,0,1093291,0,3836,29773,,,,,,,,,,,11.339,29773,88.01
1/24/23,USA,100639527,0,1093291,0,3882,29261,,,,,,,,,,,11.475,29261,86.497
1/25/23,USA,100639527,0,1093291,0,3765,28903,,,,,,,,,,,11.13,28903,85.439
1/26/23,USA,100639527,0,1093291,0,3625,27934,,,,,,,,,,,10.716,27934,82.574
1/27/23,USA,100639527,0,1093291,0,3544,27038,,,,,,,,,,,10.476,27038,79.926
1/28/23,USA,100639527,0,1093291,0,3304,26075,,,,,,,,,,,9.767,26075,77.079
1/29/23,USA,100934394,294867,1097034,3743,3375,26251,,,,,,,,,,,9.977,26251,77.599
1/30/23,USA,100934394,0,1097034,0,3428,26743,,,,,,,,,,,10.133,26743,79.054
1/31/23,USA,100934394,0,1097034,0,3435,26373,,,,,,,,,,,10.154,26373,77.96
2/1/23,USA,100934394,0,1097034,0,3425,25884,,,,,,,,,,,10.124,25884,76.514
2/2/23,USA,100934394,0,1097034,0,3302,25368,,,,,,,,,,,9.761,25368,74.989
2/3/23,USA,100934394,0,1097034,0,3140,24669,,,,,,,,,,,9.282,24669,72.923
2/4/23,USA,100934394,0,1097034,0,3009,23873,,,,,,,,,,,8.895,23873,70.57
2/5/23,USA,101219796,285402,1100486,3452,3019,24049,,,,,,,,,,,8.924,24049,71.09
2/6/23,USA,101219796,0,1100486,0,3113,24821,,,,,,,,,,,9.202,24821,73.372
2/7/23,USA,101219796,0,1100486,0,3071,24549,,,,,,,,,,,9.078,24549,72.568
2/8/23,USA,101219796,0,1100486,0,3008,24442,,,,,,,,,,,8.892,24442,72.252
2/9/23,USA,101219796,0,1100486,0,3066,24009,,,,,,,,,,,9.063,24009,70.972
2/10/23,USA,101219796,0,1100486,0,3026,23711,,,,,,,,,,,8.945,23711,70.091
2/11/23,USA,101219796,0,1100486,0,2924,23044,,,,,,,,,,,8.643,23044,68.119
2/12/23,USA,101498024,278228,1103926,3440,2889,23154,,,,,,,,,,,8.54,23154,68.444
2/13/23,USA,101498024,0,1103926,0,3058,23794,,,,,,,,,,,9.04,23794,70.336
2/14/23,USA,101498024,0,1103926,0,3099,23847,,,,,,,,,,,9.161,23847,70.493
2/15/23,USA,101498024,0,1103926,0,3054,24022,,,,,,,,,,,9.028,24022,71.01
2/16/23,USA,101498024,0,1103926,0,3035,23673,,,,,,,,,,,8.972,23673,69.978
2/17/23,USA,101498024,0,1103926,0,2998,23265,,,,,,,,,,,8.862,23265,68.772
2/18/23,USA,101498024,0,1103926,0,2814,22418,,,,,,,,,,,8.318,22418,66.269
2/19/23,USA,101752396,254372,1106783,2857,2861,22658,,,,,,,,,,,8.457,22658,66.978
2/20/23,USA,101752396,0,1106783,0,2954,22978,,,,,,,,,,,8.732,22978,67.924
2/21/23,USA,101752396,0,1106783,0,2953,23102,,,,,,,,,,,8.729,23102,68.291
2/22/23,USA,101752396,0,1106783,0,2946,22793,,,,,,,,,,,8.709,22793,67.377
2/23/23,USA,101752396,0,1106783,0,2927,22467,,,,,,,,,,,8.652,22467,66.413
