Location,date,total_cases,new_cases,total_death,new_death,total cases / million,new cases / million,total deaths / million,new death / million,icu,icu / million,hosp,hosp / million
USA,1/20/20,1,0,0,0,,0,,0,,,,
USA,1/21/20,1,0,0,0,,0,,0,,,,
USA,1/22/20,1,0,0,0,,0,,0,,,,
USA,1/23/20,1,0,0,0,,0,,0,,,,
USA,1/24/20,1,0,0,0,,0,,0,,,,
USA,1/25/20,1,0,0,0,,0,,0,,,,
USA,1/26/20,7,6,0,0,0.021,0.021,,0,,,,
USA,1/27/20,7,0,0,0,0.021,0,,0,,,,
USA,1/28/20,7,0,,0,0.021,0,,0,,,,
USA,1/29/20,7,0,,0,0.021,0,,0,,,,
USA,1/30/20,7,0,,0,0.021,0,,0,,,,
USA,1/31/20,7,0,,0,0.021,0,,0,,,,
USA,2/1/20,7,0,,0,0.021,0,,0,,,,
USA,2/2/20,9,2,,0,0.027,0.006,,0,,,,
USA,2/3/20,9,0,,0,0.027,0,,0,,,,
USA,2/4/20,9,0,,0,0.027,0,,0,,,,
USA,2/5/20,9,0,,0,0.027,0,,0,,,,
USA,2/6/20,9,0,,0,0.027,0,,0,,,,
USA,2/7/20,9,0,,0,0.027,0,,0,,,,
USA,2/8/20,9,0,,0,0.027,0,,0,,,,
USA,2/9/20,20,11,,0,0.059,0.033,,0,,,,
USA,2/10/20,20,0,,0,0.059,0,,0,,,,
USA,2/11/20,20,0,,0,0.059,0,,0,,,,
USA,2/12/20,20,0,,0,0.059,0,,0,,,,
USA,2/13/20,20,0,,0,0.059,0,,0,,,,
USA,2/14/20,20,0,,0,0.059,0,,0,,,,
USA,2/15/20,20,0,,0,0.059,0,,0,,,,
USA,2/16/20,24,4,,0,0.071,0.012,,0,,,,
USA,2/17/20,24,0,,0,0.071,0,,0,,,,
USA,2/18/20,24,0,,0,0.071,0,,0,,,,
USA,2/19/20,24,0,,0,0.071,0,,0,,,,
USA,2/20/20,24,0,,0,0.071,0,,0,,,,
USA,2/21/20,24,0,,0,0.071,0,,0,,,,
USA,2/22/20,24,0,,0,0.071,0,,0,,,,
USA,2/23/20,40,16,,0,0.118,0.047,,0,,,,
USA,2/24/20,40,0,,0,0.118,0,,0,,,,
USA,2/25/20,40,0,,0,0.118,0,,0,,,,
USA,2/26/20,40,0,,0,0.118,0,,0,,,,
USA,2/27/20,40,0,,0,0.118,0,,0,,,,
USA,2/28/20,40,0,,0,0.118,0,,0,,,,
USA,2/29/20,40,0,,0,0.118,0,,0,,,,
USA,3/1/20,73,33,1,1,0.216,0.098,0.003,0.003,,,,
USA,3/2/20,73,0,1,0,0.216,0,0.003,0,,,,
USA,3/3/20,73,0,1,0,0.216,0,0.003,0,,,,
USA,3/4/20,73,0,1,0,0.216,0,0.003,0,,,,
USA,3/5/20,73,0,1,0,0.216,0,0.003,0,,,,
USA,3/6/20,73,0,1,0,0.216,0,0.003,0,,,,
USA,3/7/20,73,0,1,0,0.216,0,0.003,0,,,,
USA,3/8/20,464,391,19,18,1.372,1.156,0.056,0.053,,,,
USA,3/9/20,464,0,19,0,1.372,0,0.056,0,,,,
USA,3/10/20,464,0,19,0,1.372,0,0.056,0,,,,
USA,3/11/20,464,0,19,0,1.372,0,0.056,0,,,,
USA,3/12/20,464,0,19,0,1.372,0,0.056,0,,,,
USA,3/13/20,464,0,19,0,1.372,0,0.056,0,,,,
USA,3/14/20,464,0,19,0,1.372,0,0.056,0,,,,
USA,3/15/20,3929,3465,69,50,11.614,10.243,0.204,0.148,,,,
USA,3/16/20,3929,0,69,0,11.614,0,0.204,0,,,,
USA,3/17/20,3929,0,69,0,11.614,0,0.204,0,,,,
USA,3/18/20,3929,0,69,0,11.614,0,0.204,0,,,,
USA,3/19/20,3929,0,69,0,11.614,0,0.204,0,,,,
USA,3/20/20,3929,0,69,0,11.614,0,0.204,0,,,,
USA,3/21/20,3929,0,69,0,11.614,0,0.204,0,,,,
USA,3/22/20,31415,27486,374,305,92.864,81.25,1.106,0.902,,,,
USA,3/23/20,31415,0,374,0,92.864,0,1.106,0,,,,
USA,3/24/20,31415,0,374,0,92.864,0,1.106,0,,,,
USA,3/25/20,31415,0,374,0,92.864,0,1.106,0,,,,
USA,3/26/20,31415,0,374,0,92.864,0,1.106,0,,,,
USA,3/27/20,31415,0,374,0,92.864,0,1.106,0,,,,
USA,3/28/20,31415,0,374,0,92.864,0,1.106,0,,,,
USA,3/29/20,126309,94894,2106,1732,373.375,280.511,6.225,5.12,,,,
USA,3/30/20,126309,0,2106,0,373.375,0,6.225,0,,,,
USA,3/31/20,126309,0,2106,0,373.375,0,6.225,0,,,,
USA,4/1/20,126309,0,2106,0,373.375,0,6.225,0,,,,
USA,4/2/20,126309,0,2106,0,373.375,0,6.225,0,,,,
USA,4/3/20,126309,0,2106,0,373.375,0,6.225,0,,,,
USA,4/4/20,126309,0,2106,0,373.375,0,6.225,0,,,,
USA,4/5/20,302460,176151,8748,6642,894.085,520.71,25.859,19.634,,,,
USA,4/6/20,302460,0,8748,0,894.085,0,25.859,0,,,,
USA,4/7/20,302460,0,8748,0,894.085,0,25.859,0,,,,
USA,4/8/20,302460,0,8748,0,894.085,0,25.859,0,,,,
USA,4/9/20,302460,0,8748,0,894.085,0,25.859,0,,,,
USA,4/10/20,302460,0,8748,0,894.085,0,25.859,0,,,,
USA,4/11/20,302460,0,8748,0,894.085,0,25.859,0,,,,
USA,4/12/20,521632,219172,22637,13889,1541.968,647.882,66.916,41.057,,,,
USA,4/13/20,521632,0,22637,0,1541.968,0,66.916,0,,,,
USA,4/14/20,521632,0,22637,0,1541.968,0,66.916,0,,,,
